name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1978,4347899751,,-111.9518508,33.3782181,0,secondary,,,
,1979,41633351,signal,-111.9525130,33.3782208,0,secondary,,,
,1980,12753795238,,-111.9648728,33.3781691,0,secondary,,,
,1981,4347899749,,-111.9642968,33.3781736,0,secondary,,,
,1982,4347899747,signal,-111.9695230,33.3781173,0,secondary,,,
,1983,6065736554,,-111.9692063,33.3781223,0,secondary,,,
,1984,4347899755,,-111.9713310,33.3782987,0,secondary,,,
,1985,6065736558,,-111.9667876,33.3783728,0,secondary,,,
,1986,4347899773,,-111.9617857,33.3928388,0,secondary,,,
,1987,4347899774,,-111.9615590,33.3928398,0,secondary,,,
,1988,41552992,signal,-111.9519790,33.3928434,0,secondary,,,
,1989,4347899775,,-111.9511588,33.3928407,0,secondary,,,
,1990,4347899777,,-111.9598531,33.3928453,0,secondary,,,
,1991,4347899776,,-111.9527956,33.3928444,0,secondary,,,
,1992,419348145,,-111.9597022,33.3928459,0,secondary,,,
,1993,2161955381,,-111.9706709,33.3781344,0,secondary,,,
,1994,4347899746,,-111.9673853,33.3771874,0,motorway,,,
,1995,1019377586,signal,-111.9673550,33.3781389,0,motorway,,,
,1996,8905855464,,-111.9604863,33.3879291,0,motorway,,,
,1997,4347899763,,-111.9686233,33.3791926,0,motorway,,,
,1998,41203110,signal,-111.9686270,33.3783682,0,motorway,,,
,1999,1019377584,signal,-111.9686420,33.3781302,0,motorway,,,
,2000,6065736556,,-111.9686588,33.3778504,0,motorway,,,
,2001,4347900933,,-111.9170130,33.4075760,0,secondary,,,
,2002,4347900928,,-111.9106315,33.4075710,0,secondary,,,
,2003,4084510561,,-111.9112300,33.4075712,0,secondary,,,
,2004,4347900914,,-111.9252008,33.4074445,0,secondary,,,
,2005,4347900910,,-111.9243424,33.4074438,0,secondary,,,
,2006,4347900932,,-111.9148321,33.4075753,0,secondary,,,
,2007,4084529110,,-111.9112310,33.4074387,0,secondary,,,
,2008,4347900905,,-111.9099258,33.4074356,0,secondary,,,
,2009,4347900930,,-111.9126153,33.4075737,0,secondary,,,
,2010,4084510568,,-111.9132484,33.4075751,0,secondary,,,
,2011,4347900912,,-111.9195487,33.4074443,0,secondary,,,
,2012,4347900915,,-111.9183745,33.4074446,0,secondary,,,
,2013,4347900916,,-111.9255030,33.4074447,0,secondary,,,
,2014,4347900927,,-111.9251976,33.4075685,0,secondary,,,
,2015,4084525374,,-111.9209405,33.4074439,0,secondary,,,
,2016,4347900911,,-111.9199744,33.4074441,0,secondary,,,
,2017,4347900935,,-111.9219839,33.4075771,0,secondary,,,
,2019,4347900929,,-111.9247739,33.4075717,0,secondary,,,
,2020,4347900913,,-111.9214184,33.4074444,0,secondary,,,
,2021,4347900907,,-111.9138803,33.4074410,0,secondary,,,
,2022,4084527689,,-111.9132485,33.4074407,0,secondary,,,
,2023,4347900931,,-111.9209418,33.4075741,0,secondary,,,
,2025,4347900938,,-111.9232831,33.4075793,0,secondary,,,
,2026,4084510566,,-111.9237216,33.4075795,0,secondary,,,
,2027,4347900934,,-111.9189369,33.4075769,0,secondary,,,
,2028,4347900936,,-111.9195494,33.4075783,0,secondary,,,
,2029,4347900937,,-111.9204775,33.4075777,0,secondary,,,
,2030,4347900908,,-111.9161352,33.4074426,0,secondary,,,
,2031,4347900906,,-111.9119245,33.4074381,0,secondary,,,
,2033,4347900922,,-111.9270016,33.4075087,0,secondary,,,
,2034,4347900926,,-111.9082621,33.4075674,0,secondary,,,
,2035,4347900925,,-111.9072028,33.4075646,0,secondary,,,
,2037,4347900895,,-111.9091334,33.3996243,0,secondary,,,
,2038,3983154689,,-111.9091344,33.3987374,0,secondary,,,
,2039,4347900941,,-111.9091088,33.4085182,0,secondary,,,
,2040,4347900939,,-111.9091078,33.4082217,0,secondary,,,
,2041,4347900892,,-111.9091276,33.3948266,0,secondary,,,
,2042,41638549,signal,-111.9091370,33.3983580,0,secondary,,,
,2043,3841332876,,-111.9091381,33.3979828,0,secondary,,,
,2044,3705511010,,-111.9091243,33.3957517,0,secondary,,,
,2045,4347900893,,-111.9091228,33.3960608,0,secondary,,,
,2046,4347900894,,-111.9091395,33.3971273,0,secondary,,,
,2047,41638551,signal,-111.9091330,33.3965983,0,secondary,,,
,2048,4347900944,,-111.9262984,33.4131293,0,primary,,,
,2049,41190841,signal,-111.9263120,33.4002314,0,primary,,,
,2050,4347900898,,-111.9263107,33.4006831,0,primary,,,
,2051,4347900891,,-111.9263293,33.3947676,0,primary,,,
,2052,5668170566,,-111.9262731,33.4079581,0,primary,,,
,2053,4347900899,,-111.9263024,33.4031335,0,primary,,,
,2054,41573960,signal,-111.9262980,33.4035219,0,primary,,,
,2055,41573974,signal,-111.9262970,33.4128826,0,primary,,,
,2057,2262988976,,-111.9209436,33.4075259,0,secondary,,,
,2058,4347900903,,-111.9075018,33.4074335,0,secondary,,,
,2059,41501539,,-111.9366203,33.3637202,0,secondary,,,
,2060,4347903589,,-111.9296304,33.3637548,0,secondary,,,
,2061,41501559,signal,-111.9286104,33.3637608,0,secondary,,,
,2062,4347902885,,-111.9458860,33.3629712,0,secondary,,,
,2063,9774140862,signal,-111.9458903,33.3636640,0,secondary,,,
,2064,320047922,signal,-111.9384730,33.3637046,0,secondary,,,
,2065,2623080031,,-111.9467593,33.3636631,0,secondary,,,
,2066,41763640,signal,-111.9095680,33.4403961,0,primary,,,
,2068,4347908532,,-111.9175273,33.4404284,0,primary,,,
,2069,42272869,,-111.9184454,33.4403253,0,primary,,,
,2071,4347908529,,-111.9095773,33.4398052,0,primary,,,
,2072,4035993938,,-111.9261609,33.4358582,0,primary,,,
,2073,4104818048,,-111.9263508,33.4371648,0,primary,,,
,2074,4347908534,,-111.9263525,33.4435327,0,primary,,,
,2075,4347908535,,-111.9264473,33.4443633,0,primary,,,
,2076,2704829978,,-111.9262731,33.4411730,0,primary,,,
,2077,12281605815,,-111.9265278,33.4470100,0,primary,,,
,2078,2821297420,,-111.9091545,33.4361512,0,motorway,,,
