link_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes
76,619,9,1,769.46,1,90,99999,connector,0,"LINESTRING (-111.8806616 33.3861709, -111.8886884054658 33.384501451790044)",,1,0,0,0.15,4,1,0.48,55.0,55.0,0.51,,,,
77,8,621,1,1492.74,1,90,99999,connector,0,"LINESTRING (-111.97327504107547 33.40084275258209, -111.9840523 33.4108145)",,1,0,0,0.15,4,1,0.93,55.0,55.0,1.0,,,,
78,621,8,1,1492.74,1,90,99999,connector,0,"LINESTRING (-111.9840523 33.4108145, -111.97327504107547 33.40084275258209)",,1,0,0,0.15,4,1,0.93,55.0,55.0,1.0,,,,
79,23,631,1,1245.72,1,90,99999,connector,0,"LINESTRING (-111.91136650374384 33.433452944116105, -111.8982934 33.4359041)",,1,0,0,0.15,4,1,0.77,55.0,55.0,0.83,,,,
80,631,23,1,1245.72,1,90,99999,connector,0,"LINESTRING (-111.8982934 33.4359041, -111.91136650374384 33.433452944116105)",,1,0,0,0.15,4,1,0.77,55.0,55.0,0.83,,,,
81,39,633,1,1685.3,1,90,99999,connector,0,"LINESTRING (-111.9525185541581 33.4292177099346, -111.966005 33.4393679)",,1,0,0,0.15,4,1,1.05,55.0,55.0,1.12,,,,
82,633,39,1,1685.3,1,90,99999,connector,0,"LINESTRING (-111.966005 33.4393679, -111.9525185541581 33.4292177099346)",,1,0,0,0.15,4,1,1.05,55.0,55.0,1.12,,,,
83,30,696,1,428.11,1,90,99999,connector,0,"LINESTRING (-111.88683839824672 33.42741013677896, -111.882872 33.4293692)",,1,0,0,0.15,4,1,0.27,55.0,55.0,0.29,,,,
84,696,30,1,428.11,1,90,99999,connector,0,"LINESTRING (-111.882872 33.4293692, -111.88683839824672 33.42741013677896)",,1,0,0,0.15,4,1,0.27,55.0,55.0,0.29,,,,
85,6,698,1,955.64,1,90,99999,connector,0,"LINESTRING (-111.97147327426742 33.38599231190118, -111.9719353 33.3773848)",,1,0,0,0.15,4,1,0.59,55.0,55.0,0.64,,,,
86,698,6,1,955.64,1,90,99999,connector,0,"LINESTRING (-111.9719353 33.3773848, -111.97147327426742 33.38599231190118)",,1,0,0,0.15,4,1,0.59,55.0,55.0,0.64,,,,
87,4,740,1,985.33,1,90,99999,connector,0,"LINESTRING (-111.96854061981801 33.41865076566256, -111.978435 33.4218257)",,1,0,0,0.15,4,1,0.61,55.0,55.0,0.66,,,,
88,740,4,1,985.33,1,90,99999,connector,0,"LINESTRING (-111.978435 33.4218257, -111.96854061981801 33.41865076566256)",,1,0,0,0.15,4,1,0.61,55.0,55.0,0.66,,,,
89,21,744,1,835.48,1,90,99999,connector,0,"LINESTRING (-111.90239318761725 33.34195030578041, -111.893464 33.3411913)",,1,0,0,0.15,4,1,0.52,55.0,55.0,0.56,,,,
90,744,21,1,835.48,1,90,99999,connector,0,"LINESTRING (-111.893464 33.3411913, -111.90239318761725 33.34195030578041)",,1,0,0,0.15,4,1,0.52,55.0,55.0,0.56,,,,
91,1,753,1,1426.31,1,90,99999,connector,0,"LINESTRING (-111.95857402769855 33.32929064666485, -111.97269 33.3342879)",,1,0,0,0.15,4,1,0.89,55.0,55.0,0.95,,,,
92,753,1,1,1426.31,1,90,99999,connector,0,"LINESTRING (-111.97269 33.3342879, -111.95857402769855 33.32929064666485)",,1,0,0,0.15,4,1,0.89,55.0,55.0,0.95,,,,
93,6,800,1,957.66,1,90,99999,connector,0,"LINESTRING (-111.97147327426742 33.38599231190118, -111.9720685 33.3773723)",,1,0,0,0.15,4,1,0.6,55.0,55.0,0.64,,,,
94,800,6,1,957.66,1,90,99999,connector,0,"LINESTRING (-111.9720685 33.3773723, -111.97147327426742 33.38599231190118)",,1,0,0,0.15,4,1,0.6,55.0,55.0,0.64,,,,
95,25,813,1,1036.79,1,90,99999,connector,0,"LINESTRING (-111.88681356806566 33.41709433318095, -111.8774191 33.4221262)",,1,0,0,0.15,4,1,0.64,55.0,55.0,0.69,,,,
96,813,25,1,1036.79,1,90,99999,connector,0,"LINESTRING (-111.8774191 33.4221262, -111.88681356806566 33.41709433318095)",,1,0,0,0.15,4,1,0.64,55.0,55.0,0.69,,,,
97,38,885,1,1921.12,1,90,99999,connector,0,"LINESTRING (-111.94240830800949 33.442680959325, -111.9610217 33.4502001)",,1,0,0,0.15,4,1,1.19,55.0,55.0,1.28,,,,
98,885,38,1,1921.12,1,90,99999,connector,0,"LINESTRING (-111.9610217 33.4502001, -111.94240830800949 33.442680959325)",,1,0,0,0.15,4,1,1.19,55.0,55.0,1.28,,,,
99,30,899,1,570.52,1,90,99999,connector,0,"LINESTRING (-111.88683839824672 33.42741013677896, -111.8891783 33.4321652)",,1,0,0,0.15,4,1,0.35,55.0,55.0,0.38,,,,
100,899,30,1,570.52,1,90,99999,connector,0,"LINESTRING (-111.8891783 33.4321652, -111.88683839824672 33.42741013677896)",,1,0,0,0.15,4,1,0.35,55.0,55.0,0.38,,,,
101,15,1000,1,1162.27,1,90,99999,connector,0,"LINESTRING (-111.90234525424631 33.371047113918, -111.8933625 33.3783282)",,1,0,0,0.15,4,1,0.72,55.0,55.0,0.77,,,,
102,1000,15,1,1162.27,1,90,99999,connector,0,"LINESTRING (-111.8933625 33.3783282, -111.90234525424631 33.371047113918)",,1,0,0,0.15,4,1,0.72,55.0,55.0,0.77,,,,
103,23,1007,1,1091.35,1,90,99999,connector,0,"LINESTRING (-111.91136650374384 33.433452944116105, -111.8999723 33.43581)",,1,0,0,0.15,4,1,0.68,55.0,55.0,0.73,,,,
104,1007,23,1,1091.35,1,90,99999,connector,0,"LINESTRING (-111.8999723 33.43581, -111.91136650374384 33.433452944116105)",,1,0,0,0.15,4,1,0.68,55.0,55.0,0.73,,,,
105,4,1016,1,1919.73,1,90,99999,connector,0,"LINESTRING (-111.96854061981801 33.41865076566256, -111.9786643 33.4337347)",,1,0,0,0.15,4,1,1.19,55.0,55.0,1.28,,,,
106,1016,4,1,1919.73,1,90,99999,connector,0,"LINESTRING (-111.9786643 33.4337347, -111.96854061981801 33.41865076566256)",,1,0,0,0.15,4,1,1.19,55.0,55.0,1.28,,,,
107,2,1026,1,2206.87,1,90,99999,connector,0,"LINESTRING (-111.92234488535459 33.32935351748038, -111.9455976 33.3254949)",,1,0,0,0.15,4,1,1.37,55.0,55.0,1.47,,,,
108,1026,2,1,2206.87,1,90,99999,connector,0,"LINESTRING (-111.9455976 33.3254949, -111.92234488535459 33.32935351748038)",,1,0,0,0.15,4,1,1.37,55.0,55.0,1.47,,,,
109,2,1028,1,2208.17,1,90,99999,connector,0,"LINESTRING (-111.92234488535459 33.32935351748038, -111.9455975 33.3254348)",,1,0,0,0.15,4,1,1.37,55.0,55.0,1.47,,,,
110,1028,2,1,2208.17,1,90,99999,connector,0,"LINESTRING (-111.9455975 33.3254348, -111.92234488535459 33.32935351748038)",,1,0,0,0.15,4,1,1.37,55.0,55.0,1.47,,,,
111,21,1048,1,1171.12,1,90,99999,connector,0,"LINESTRING (-111.90239318761725 33.34195030578041, -111.8932991 33.3492467)",,1,0,0,0.15,4,1,0.73,55.0,55.0,0.78,,,,
112,1048,21,1,1171.12,1,90,99999,connector,0,"LINESTRING (-111.8932991 33.3492467, -111.90239318761725 33.34195030578041)",,1,0,0,0.15,4,1,0.73,55.0,55.0,0.78,,,,
113,2,1071,1,1167.44,1,90,99999,connector,0,"LINESTRING (-111.92234488535459 33.32935351748038, -111.92823 33.320059)",,1,0,0,0.15,4,1,0.73,55.0,55.0,0.78,,,,
114,1071,2,1,1167.44,1,90,99999,connector,0,"LINESTRING (-111.92823 33.320059, -111.92234488535459 33.32935351748038)",,1,0,0,0.15,4,1,0.73,55.0,55.0,0.78,,,,
