link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,is_link,link_type_name,from_biway
1813,South Priest Drive,402560707,1188,1187,1,"LINESTRING (-111.9631578 33.3447058, -111.9631586 33.3442726, -111.9631579 33.3439175, -111.9631571 33.3433861, -111.9631492 33.3429629, -111.9631441 33.3423708, -111.9631431 33.3420486, -111.9631451 33.3418764, -111.9631464 33.3418032, -111.9631437 33.3415891, -111.9631451 33.3412652, -111.9631433 33.3409622, -111.963142 33.3406008)",1,456.47,secondary,4,60,3,4800,drive,0,0.15,4,1,0.28,35.0,35.0,0.46,,,,,,,
1814,South Priest Drive,529675871,1188,1559,1,"LINESTRING (-111.9631578 33.3447058, -111.963157 33.3447728)",1,7.45,secondary,4,60,3,4800,drive,0,0.15,4,1,0.0,35.0,35.0,0.01,,,,,,,
1815,West Baseline Road,1063779629,1189,722,1,"LINESTRING (-111.9453465 33.3782022, -111.9452812 33.3782025)",1,6.06,secondary,4,72,3,4800,drive,0,0.15,4,1,0.0,45.0,45.0,0.01,,,,,,,
1816,West Baseline Road,402560708,1189,1190,1,"LINESTRING (-111.9453465 33.3782022, -111.945412 33.378202, -111.9454684 33.3782018, -111.9454859 33.3782017)",1,12.94,secondary,4,72,3,4800,drive,0,0.15,4,1,0.01,45.0,45.0,0.01,,,,,,,
1817,West Baseline Road,402560708,1190,1189,1,"LINESTRING (-111.9454859 33.3782017, -111.9454684 33.3782018, -111.945412 33.378202, -111.9453465 33.3782022)",1,12.94,secondary,4,72,3,4800,drive,0,0.15,4,1,0.01,45.0,45.0,0.01,,,,,,,
1818,West Baseline Road,436910211,1190,1764,1,"LINESTRING (-111.9454859 33.3782017, -111.9456087 33.3782012, -111.945854 33.3782002, -111.945996 33.3781996)",1,47.37,secondary,4,72,5,8000,drive,0,0.15,4,1,0.03,45.0,45.0,0.04,,,,,,,
1819,West Grove Parkway,402560709,1191,1179,1,"LINESTRING (-111.946716 33.3548341, -111.9460161 33.3548332, -111.945847 33.3548254)",1,80.74,tertiary,5,64,3,3600,drive,0,0.15,4,1,0.05,40.0,40.0,0.08,,,,,,,
1820,West Grove Parkway,537687492,1191,2586,1,"LINESTRING (-111.946716 33.3548341, -111.9471398 33.3548333)",1,39.36,tertiary,5,40,1,1200,drive,0,0.15,4,1,0.02,25.0,25.0,0.06,,,,,,,
1821,West Warner Road,402560711,1192,1193,1,"LINESTRING (-111.9640015 33.334531, -111.9641228 33.3345308, -111.9641627 33.3345308, -111.9644236 33.3345297, -111.9645328 33.3345292, -111.9648817 33.3345285, -111.9657086 33.3345268, -111.9658308 33.3345265)",1,169.94,secondary,4,60,2,3200,drive,0,0.15,4,1,0.11,35.0,35.0,0.17,,,,,,,
1822,West Warner Road,436797179,1192,1497,1,"LINESTRING (-111.9640015 33.334531, -111.963339 33.3345321, -111.963128 33.3345323)",1,81.15,secondary,4,60,4,6400,drive,0,0.15,4,1,0.05,35.0,35.0,0.08,,,,,,,
1823,West Warner Road,436797183,1193,755,1,"LINESTRING (-111.9658308 33.3345265, -111.9659658 33.3345262, -111.966529 33.3345251, -111.966681 33.3345248)",1,78.98,secondary,4,60,4,6400,drive,0,0.15,4,1,0.05,35.0,35.0,0.08,,,,,,,
1824,West Warner Road,402560711,1193,1192,1,"LINESTRING (-111.9658308 33.3345265, -111.9657086 33.3345268, -111.9648817 33.3345285, -111.9645328 33.3345292, -111.9644236 33.3345297, -111.9641627 33.3345308, -111.9641228 33.3345308, -111.9640015 33.334531)",1,169.94,secondary,4,60,2,3200,drive,0,0.15,4,1,0.11,35.0,35.0,0.17,,,,,,,
1825,South McClintock Drive,403117287,1194,1166,1,"LINESTRING (-111.9090865 33.422857, -111.9090873 33.4227729, -111.909088 33.4226469, -111.9090902 33.4224399, -111.9090962 33.4221235, -111.9090944 33.421982)",1,97.3,secondary,4,64,5,8000,drive,0,0.15,4,1,0.06,40.0,40.0,0.09,,,,,,,
1826,South McClintock Drive,436942355,1194,1964,1,"LINESTRING (-111.9090865 33.422857, -111.9090859 33.4229147, -111.9090814 33.4233839, -111.9090767 33.423861, -111.9090754 33.4239993, -111.9090737 33.4241687, -111.9090665 33.4249067, -111.9090608 33.4254954, -111.909059 33.425676, -111.9090558 33.425924, -111.9090541 33.4261083, -111.9090518 33.4263546, -111.9090483 33.4267355, -111.9090458 33.427007, -111.9090423 33.4273929, -111.9090488 33.42767, -111.9090695 33.4285518)",1,633.27,secondary,4,64,2,3200,drive,0,0.15,4,1,0.39,40.0,40.0,0.59,,,,,,,
1827,East Broadway Road,1055001933,1196,2102,1,"LINESTRING (-111.9089346 33.4074294, -111.9085518 33.4074305, -111.9083268 33.4074312, -111.908141 33.4074317, -111.9075018 33.4074335)",1,133.0,secondary,4,72,3,4800,drive,0,0.15,4,1,0.08,45.0,45.0,0.11,,,,,,,
1828,South McClintock Drive,406379334,1197,1072,1,"LINESTRING (-111.9091145 33.4068521, -111.9091158 33.4067594, -111.9091164 33.4066974, -111.9091189 33.4064571, -111.9091194 33.4064032, -111.9091196 33.4063117, -111.9091208 33.4061789, -111.9091216 33.4060824, -111.9091206 33.405994, -111.9091225 33.4055343, -111.9091231 33.4054245, -111.909123 33.4053528, -111.9091235 33.4051671, -111.9091257 33.4047206, -111.9091257 33.4046543, -111.909126 33.4045832, -111.9091269 33.4042205, -111.9091273 33.4041995, -111.909127 33.4040514, -111.909127 33.4039065, -111.9091277 33.4038153, -111.909127 33.4037943, -111.909127 33.4036599, -111.9091272 33.4035219, -111.909127 33.4033671, -111.909127 33.403174, -111.9091279 33.4029846)",1,430.05,secondary,4,60,3,4800,drive,0,0.15,4,1,0.27,35.0,35.0,0.43,,,,,,,
1829,South McClintock Drive,436943757,1197,2920,1,"LINESTRING (-111.9091145 33.4068521, -111.9091131 33.4070823, -111.9091121 33.407334, -111.909105 33.4074308)",1,64.37,secondary,4,64,4,6400,drive,0,0.15,4,1,0.04,40.0,40.0,0.06,,,,,,,
1830,East Broadway Road,406379830,1198,1199,1,"LINESTRING (-111.9236803 33.4074433, -111.9234733 33.4074432, -111.9232083 33.407443, -111.9230728 33.4074436)",1,56.39,secondary,4,64,3,4800,drive,0,0.15,4,1,0.04,40.0,40.0,0.05,,,,,,,
1831,,521256044,1198,2274,1,"LINESTRING (-111.9236803 33.4074433, -111.9236981 33.4075215)",1,8.85,secondary,4,60,2,3200,drive,0,0.15,4,1,0.01,35.0,35.0,0.01,,,,,,,
1832,East Broadway Road,436943736,1199,2875,1,"LINESTRING (-111.9230728 33.4074436, -111.9227525 33.4074449, -111.922614 33.4074455)",1,42.59,secondary,4,64,4,6400,drive,0,0.15,4,1,0.03,40.0,40.0,0.04,,,,,,,
1833,North Scottsdale Road,408592758,1200,1201,1,"LINESTRING (-111.9261931 33.4375578, -111.926212 33.4380713, -111.9262291 33.4385324, -111.9262296 33.4390893)",1,170.35,primary,3,80,3,5400,drive,0,0.15,4,1,0.11,50.0,50.0,0.13,,,,,,,
1834,North Scottsdale Road,890098971,1201,2740,1,"LINESTRING (-111.9262296 33.4390893, -111.9262328 33.4397223)",1,70.39,primary,3,64,3,5400,drive,0,0.15,4,1,0.04,40.0,40.0,0.07,,,,,,,
1835,North Scottsdale Road,408592760,1202,1203,1,"LINESTRING (-111.9261563 33.4354322, -111.9261604 33.4357299, -111.9261615 33.4358001)",1,40.91,primary,3,56,5,9000,drive,0,0.15,4,1,0.03,35.0,35.0,0.04,,,,,,,
