name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes,new_node_id
,1027,3951060330,signal,-111.92823,33.320059,-1,secondary,,1027.0,,1071
,1048,11293935177,,-111.9350752,33.385998,2,tertiary,,1048.0,,1092
,1079,3989531161,,-111.8885089,33.4075867,1,secondary,,1079.0,,1123
,1183,5200239624,,-111.9349556,33.4161131,1,tertiary,,1183.0,,1227
,1200,4341933873,,-111.894004,33.3637981,-1,secondary,,1200.0,,1244
,1240,4346532291,signal,-111.963016,33.3199329,1,secondary,,1240.0,,1284
,1242,41715508,signal,-111.963158,33.3199306,-1,secondary,,1242.0,,1286
,1245,4346550817,,-111.961825,33.4372374,1,primary,,1245.0,,1289
,1253,4346561445,,-111.9620771,33.445332,1,primary,,1253.0,,1297
,1254,4346561446,,-111.9638472,33.4457402,-1,primary,,1254.0,,1298
,1484,41638643,,-111.9111722,33.3271018,2,secondary,,1484.0,,1528
,1498,3363563637,,-111.8933018,33.3350242,1,secondary,,1498.0,,1542
,1532,10945045732,,-111.9724082,33.3491824,-1,secondary,,1532.0,,1576
,1537,10945045733,,-111.9724062,33.3489625,1,secondary,,1537.0,,1581
,1636,4347494409,,-111.893373,33.3494681,1,secondary,,1636.0,,1680
,1639,41565300,,-111.9385826,33.4509174,2,secondary,,1639.0,,1683
,1747,330671249,signal,-111.884922,33.4147397,-1,primary,,1747.0,,1791
,1767,4347778849,,-111.890533,33.4293712,1,secondary,,1767.0,,1811
,1778,3884364848,,-111.8864941,33.4293429,-1,secondary,,1778.0,,1822
,1840,4347800572,,-111.8927174,33.3785416,1,secondary,,1840.0,,1884
,1902,4347875875,,-111.9258842,33.4512451,2,secondary,,1902.0,,1946
,1910,41517353,signal,-111.926268,33.4584832,-1,primary,,1910.0,,1954
,1917,1789501280,,-111.9565254,33.3637105,2,secondary,,1917.0,,1961
,2080,4347908527,,-111.9246496,33.4365124,-1,motorway,,2080.0,,2124
,2113,1511703567,signal,-111.978418,33.3781822,2,secondary,,2113.0,,2157
,2114,4347919981,,-111.9793518,33.3927591,2,secondary,,2114.0,,2158
,2124,4347921374,,-111.9783602,33.3920619,2,secondary,,2124.0,,2168
,2141,321340769,signal,-111.9784362,33.4093378,1,secondary,,2141.0,,2185
,2171,41710025,,-111.9562859,33.4492811,1,secondary,,2171.0,,2215
,2176,1508154020,,-111.9561241,33.4493284,-1,secondary,,2176.0,,2220
,2184,541771504,,-111.8802129,33.3930312,2,secondary,,2184.0,,2228
,2185,4354767048,,-111.978976,33.4073253,2,secondary,,2185.0,,2229
,2187,41267584,,-111.9723774,33.3444649,-1,motorway,,2187.0,,2231
,2206,3951060324,signal,-111.928108,33.3200579,1,secondary,,2206.0,,2250
,2236,41476778,,-111.9615192,33.4387085,-1,primary,,2236.0,,2280
,2241,314437913,,-111.8936528,33.3726188,-1,motorway,,2241.0,,2285
,2253,5132368886,,-111.8939342,33.3663356,1,motorway,,2253.0,,2297
,2254,13365838,,-111.8928901,33.3799735,-1,motorway,,2254.0,,2298
,2258,316737884,,-111.9681497,33.3765305,-1,motorway,,2258.0,,2302
,2266,314442293,,-111.894209,33.3574079,-1,motorway,,2266.0,,2310
,2268,314442685,,-111.8932413,33.3430014,1,motorway,,2268.0,,2312
,2270,314442682,,-111.89358,33.3432013,-1,motorway,,2270.0,,2314
,2308,5147302859,,-111.9145744,33.4512598,1,secondary,,2308.0,,2352
